區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
118巷,泰米香,koh,4.9,53,x,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,1
118巷,山林美食館,br,3.8,240,05:00-13:30,05:00-13:30,05:00-13:30,05:00-13:30,05:00-13:30,05:00-13:30,05:00-13:30,1
118巷,九品早餐店,br,3.5,124,05:30-14:00,05:30-14:00,05:30-14:00,05:30-14:00,05:30-14:00,05:30-14:00,x,1
118巷,八分目珈琲,dr,5,96,07:30-16:00,07:30-16:00,07:30-16:00,07:30-16:00,07:30-16:00,08:00-16:00,x,1
118巷,揪食堂 韓國餐館,k,3.8,124,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,x,1
118巷,喵屋 Meow 輕食餐廳,tw,4.9,31,11:30-19:00,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,x,1
118巷,JJ's POKE & CAFE 2店,dr,4.3,93,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,2
118巷,Louisa Coffee 路易．莎咖啡(復興辛亥門市),dr,3.2,339,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,1
118巷,Mania買你,fat,4.6,174,12:30-21:00,12:30-21:00,12:30-21:00,12:30-21:00,12:30-21:00,12:30-21:00,12:30-19:00,2
118巷,方最茗品,dr,4.4,134,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,1
118巷,蘇草salvia,dr,4.4,724,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,2
